t,ENmale,ENfemale,Pubmale,Pubfemale
1,0.4345,0.4194,0.0409,0.0421
2,0.4445,0.4294,0.0409,0.0421
3,0.4545,0.4394,0.0409,0.0421
4,0.4645,0.4494,0.0409,0.0421
5,0.4745,0.4594,0.0409,0.0421
6,0.4845,0.4694,0.0409,0.0421
7,0.4945,0.4794,0.0409,0.0421
8,0.5045,0.4894,0.0409,0.0421
9,0.5145,0.4994,0.0409,0.0421
10,0.5245,0.5094,0.0409,0.0421
11,0.5345,0.5194,0.0409,0.0421
12,0.5445,0.5294,0.0409,0.0421
13,0.5545,0.5394,0.0409,0.0421
14,0.5645,0.5494,0.0409,0.0421
15,0.5745,0.5594,0.0409,0.0421
16,0.5845,0.5694,0.0409,0.0421
17,0.5945,0.5794,0.0409,0.0421
18,0.6045,0.5894,0.0409,0.0421
19,0.6145,0.5994,0.0409,0.0421
20,0.6245,0.6094,0.0409,0.0421
21,0.6345,0.6194,0.0409,0.0421
22,0.6345,0.6194,0.0409,0.0421
23,0.6345,0.6194,0.0409,0.0421
24,0.6345,0.6194,0.0409,0.0421
25,0.6345,0.6194,0.0409,0.0421
26,0.6345,0.6194,0.0409,0.0421
27,0.6345,0.6194,0.0409,0.0421
28,0.6345,0.6194,0.0409,0.0421
29,0.6345,0.6194,0.0409,0.0421
30,0.6345,0.6194,0.0409,0.0421
31,0.6345,0.6194,0.0409,0.0421
32,0.6345,0.6194,0.0409,0.0421
33,0.6345,0.6194,0.0409,0.0421
34,0.6345,0.6194,0.0409,0.0421
35,0.6345,0.6194,0.0409,0.0421
36,0.6345,0.6194,0.0409,0.0421
37,0.6345,0.6194,0.0409,0.0421
38,0.6345,0.6194,0.0409,0.0421
39,0.6345,0.6194,0.0409,0.0421
40,0.6345,0.6194,0.0409,0.0421
41,0.6345,0.6194,0.0409,0.0421
