t,male,female
1,0.0602,0.0448
2,0.0602,0.0448
3,0.0602,0.0448
4,0.0602,0.0448
5,0.0602,0.0448
6,0.0602,0.0448
7,0.0602,0.0448
8,0.0602,0.0448
9,0.0602,0.0448
10,0.0602,0.0448
11,0.0602,0.0448
12,0.0602,0.0448
13,0.0602,0.0448
14,0.0602,0.0448
15,0.0602,0.0448
16,0.0602,0.0448
17,0.0602,0.0448
18,0.0602,0.0448
19,0.0602,0.0448
20,0.0602,0.0448
21,0.0602,0.0448
22,0.0602,0.0448
23,0.0602,0.0448
24,0.0602,0.0448
25,0.0602,0.0448
26,0.0602,0.0448
27,0.0602,0.0448
28,0.0602,0.0448
29,0.0602,0.0448
30,0.0602,0.0448
31,0.0602,0.0448
32,0.0602,0.0448
33,0.0602,0.0448
34,0.0602,0.0448
35,0.0602,0.0448
36,0.0602,0.0448
37,0.0602,0.0448
38,0.0602,0.0448
39,0.0602,0.0448
40,0.0602,0.0448
41,0.0602,0.0448
