t,male,female
1,0.92,0.92
2,0.93,0.93
3,0.94,0.94
4,0.95,0.95
5,0.96,0.96
6,0.97,0.97
7,0.98,0.98
8,0.98,0.98
9,0.98,0.98
10,0.98,0.98
11,0.98,0.98
12,0.98,0.98
13,0.98,0.98
14,0.98,0.98
15,0.98,0.98
16,0.98,0.98
17,0.98,0.98
18,0.98,0.98
19,0.98,0.98
20,0.98,0.98
21,0.98,0.98
22,0.98,0.98
23,0.98,0.98
24,0.98,0.98
25,0.98,0.98
26,0.98,0.98
27,0.98,0.98
28,0.98,0.98
29,0.98,0.98
30,0.98,0.98
31,0.98,0.98
32,0.98,0.98
33,0.98,0.98
34,0.98,0.98
35,0.98,0.98
36,0.98,0.98
37,0.98,0.98
38,0.98,0.98
39,0.98,0.98
40,0.98,0.98
41,0.98,0.98
