,    Beijin,   Tianjin,    Hebei,   Shanxi1,  Neimenggu,   Liaoning,    Jilin, Heilongjiang,   Shanghai,   Jiangsu,   Zhejiang,    Anhui,    Fujian,   Jiangxi,   Shandong,    Henan,    Hubei,    Hunan,  Guangdong,   Guagnxi,    Hainan,  Chongqing,   Sichuan,   Guizhou,    Yunnan,    Xizang,    Shanxi,    Gansu,   Qinghai,   Ningxia,   Xinjiang
1,14113.58,9224.46,20394.26,9200.86,11672,18457.27,8667.58,10368.6,17165.98,41425.48,27722.31,12359.33,14737.12,9451.26,39169.92,23092.36,15967.61,16037.96,46013.06,9569.85,2064.5,7925.58,17185.48,4602.16,7224.18,507.46,10123.48,4120.75,1350.43,1689.65,5437.47
2,15242.6664,9962.4168,22025.8008,9936.9288,12605.76,19933.8516,9360.9864,11198.088,18539.2584,44739.5184,29940.0948,13348.0764,15916.0896,10207.3608,42303.5136,24939.7488,17245.0188,17320.9968,49694.1048,10335.438,2229.66,8559.6264,18560.3184,4970.3328,7802.1144,548.0568,10933.3584,4450.41,1458.4644,1824.822,5872.4676
3,16443.02638,10746.95712,23760.33261,10719.46194,13598.4636,21503.64241,10098.16408,12079.93743,19999.225,48262.75547,32297.87727,14399.23742,17169.48166,11011.19046,45634.9153,26903.75402,18603.06403,18685.0253,53607.51555,11149.35374,2405.245725,9233.696979,20021.94347,5361.746508,8416.530909,591.216273,11794.36037,4800.879788,1573.318472,1968.526733,6334.924424
4,17717.36092,11579.8463,25601.75839,11550.22024,14652.34453,23170.1747,10880.7718,13016.13258,21549.16494,52003.11902,34800.96275,15515.17832,18500.11648,11864.55772,49171.62123,28988.79495,20044.80149,20133.11476,57762.09801,12013.42866,2591.652269,9949.308495,21573.64409,5777.281862,9068.812054,637.0355342,12708.4233,5172.947971,1695.250653,2121.087554,6825.881066
5,19068.30969,12462.80958,27553.89247,12430.92454,15769.5858,24936.90052,11710.43064,14008.61269,23192.28876,55968.35685,37454.53616,16698.21066,19910.75037,12769.23025,52920.95735,31199.19057,21573.21761,21668.26476,62166.45798,12929.45259,2789.265754,10707.94327,23218.63446,6217.799604,9760.308974,685.6094936,13677.44058,5567.385254,1824.513515,2282.82048,7346.354498
6,20498.43292,13397.5203,29620.4344,13363.24388,16952.30473,26807.16806,12588.71294,15059.25864,24931.71042,60165.98361,40263.62638,17950.57646,21404.05664,13726.92252,56890.02915,33539.12986,23191.20893,23293.38462,66828.94233,13899.16154,2998.460686,11511.03901,24960.03204,6684.134575,10492.33215,737.0302057,14703.24862,5984.939148,1961.352029,2454.032016,7897.331085
7,22010.19235,14385.58742,31804.94144,14348.78311,18202.53721,28784.19671,13517.13052,16169.87897,26770.42406,64603.2249,43233.06882,19274.43148,22982.60582,14739.28305,61085.6688,36012.64069,24901.56059,25011.27173,71757.57683,14924.2247,3219.597161,12359.97814,26800.8344,7177.0895,11266.14164,791.3861833,15787.61321,6426.32841,2106.001741,2635.016878,8479.759252
8,23605.93129,15428.54251,34110.79969,15389.06989,19522.22116,30871.05097,14497.12249,17342.19519,28711.27981,69286.95871,46367.46631,20671.82776,24648.84474,15807.88108,65514.37979,38623.55714,26706.92373,26824.58893,76960.00115,16006.23099,3453.017956,13256.07656,28743.8949,7697.428488,12082.93691,848.7616816,16932.21517,6892.23722,2258.686867,2826.055601,9094.541798
9,25287.8539,16527.82616,36541.19417,16485.54112,20913.17941,33070.61335,15530.04246,18577.8266,30756.95849,74223.65452,49671.14829,22144.69549,26405.07493,16934.1926,70182.27935,41375.48559,28609.79204,28735.84089,82443.40123,17146.67495,3699.045485,14200.57201,30791.89741,8245.870268,12943.84617,909.2359514,18138.6355,7383.309122,2419.618307,3027.412063,9742.527901
10,27058.00367,17684.77399,39099.07776,17639.529,22377.10197,35385.55628,16617.14543,19878.27446,32909.94559,79419.31033,53148.12867,23694.82417,28253.43018,18119.58609,75095.0389,44271.76958,30612.47749,30747.34976,88214.43931,18346.9422,3957.978669,15194.61205,32947.33023,8823.081187,13849.9154,972.882468,19408.33998,7900.14076,2588.991588,3239.330907,10424.50485
11,28918.24142,18900.60221,41787.13936,18852.24662,23915.52773,37818.31328,17759.57418,21244.90583,35172.50435,84879.38792,56802.06251,25323.84333,30195.8535,19365.30763,80257.82283,47315.45374,32717.08531,32861.23005,94279.18202,19608.29447,4230.089702,16239.24163,35212.45918,9429.668018,14802.09708,1039.768138,20742.66336,8443.275437,2766.98476,3462.034907,11141.18956
12,30870.22272,20176.39286,44607.77127,20124.77326,25529.82585,40371.04942,18958.34544,22678.93697,37546.64839,90608.7466,60636.20173,27033.20276,32234.07361,20672.46589,85675.22587,50509.24686,34925.48857,35079.36308,100643.0268,20931.85435,4515.620757,17335.39044,37589.30017,10066.17061,15801.23863,1109.952487,22142.79313,9013.196529,2953.756231,3695.722263,11893.21986
13,32915.37498,21513.07888,47563.03611,21458.03949,27221.17682,43045.63145,20214.33583,24181.41655,40034.11385,96611.57607,64653.35009,28824.15244,34369.58099,22042.01676,91351.20958,53855.48447,37239.30219,37403.37088,107310.6273,22318.5897,4814.780632,18483.86006,40079.59131,10733.05441,16848.07069,1183.486839,23609.75318,9610.3208,3149.442581,3940.563863,12681.14567
14,35054.87435,22911.42901,50654.63346,22852.81206,28990.55331,45843.59749,21528.26765,25753.20862,42636.33125,102891.3285,68855.81785,30697.72235,36603.60375,23474.74785,97289.03821,57356.09096,39659.85683,39834.58999,114285.8181,23769.29803,5127.741373,19685.31096,42684.76475,11430.70295,17943.19529,1260.413484,25144.38713,10234.99165,3354.156349,4196.700514,13505.42014
15,37289.62259,24372.03261,53883.86635,24309.67883,30838.70108,48766.12683,22900.69472,27394.97567,45354.39736,109450.6507,73245.37624,32654.70215,38937.08349,24971.26302,103491.2144,61012.54176,42188.17271,42374.0451,121571.539,25284.59078,5454.634886,20940.24953,45405.9185,12159.41026,19087.07399,1340.764843,26747.34181,10887.47237,3567.983816,4464.240172,14366.39068
16,39620.224,25895.28465,57251.60799,25829.03375,32766.1199,51814.00976,24331.98814,29107.16165,48189.0472,116291.3164,77823.21225,34695.62103,41370.65121,26531.96696,109959.4153,64825.82562,44824.9335,45022.42292,129169.7602,26864.8777,5795.549566,22249.01513,48243.7884,12919.3734,20280.01611,1424.562646,28419.05068,11567.93939,3790.982805,4743.255183,15264.29009
17,42046.96272,27481.37083,60758.26898,27411.06207,34773.04475,54987.61786,25822.32241,30889.9753,51140.62634,123414.1595,82589.884,36820.72782,43904.6036,28157.04994,116694.4295,68796.40743,47570.46068,47780.04633,137081.408,28510.35146,6150.526977,23611.7673,51198.72044,13710.68502,21522.1671,1511.817108,30159.71753,12276.47568,4023.180502,5033.779563,16199.22786
18,44569.78048,29130.25308,64403.76512,29055.72579,36859.42743,58286.87493,27371.66176,32743.37382,54209.06392,130819.0091,87545.27704,39029.97149,46538.87981,29846.47294,123696.0952,72924.19188,50424.68832,50646.84911,145306.2925,30220.97255,6519.558596,25028.47334,54270.64367,14533.32613,22813.49713,1602.526135,31969.30058,13013.06422,4264.571332,5335.806336,17171.18153
19,47188.25509,30841.65545,68187.48632,30762.74968,39024.91879,61711.22883,28979.74688,34667.04704,57393.84643,138504.6259,92688.56207,41322.98232,49273.039,31599.95322,130963.2408,77208.48815,53387.13876,53622.35149,153843.0372,31996.45469,6902.582663,26498.89615,57459.04399,15387.15904,24153.79008,1696.674545,33847.49699,13777.58174,4515.114898,5649.284959,18179.98845
20,49901.57975,32615.05064,72108.26678,32531.60779,41268.85162,65259.62449,30646.08233,36660.40224,60693.9926,146468.6418,98018.15439,43699.0538,52106.23875,33416.95053,138493.6272,81647.97622,56456.89923,56705.6367,162689.0118,33836.25083,7299.481167,28022.58268,60762.93902,16271.92068,25542.63301,1794.233331,35793.72807,14569.79269,4774.734004,5974.118844,19225.33779
21,52708.54362,34449.64724,76164.35679,34361.51073,43590.22453,68930.47836,32369.92446,38722.54987,64108.02968,154707.5029,103531.6756,46157.12557,55037.21467,35296.654,146283.8937,86240.67489,59632.59982,59895.32877,171840.2687,35739.53994,7710.076982,29598.85296,64180.85434,17187.21622,26979.40612,1895.158956,37807.12527,15389.34353,5043.312792,6310.163029,20306.76304
22,55607.51351,36344.37783,80353.39641,36251.39382,45987.68688,72721.65467,34150.27031,40852.29011,67633.97131,163216.4156,109225.9177,48695.76748,58064.26148,37237.96997,154329.5079,90983.912,62912.39281,63189.57185,181291.4835,37705.21464,8134.131216,31226.78987,67710.80132,18132.51311,28463.27346,1999.392699,39886.51716,16235.75743,5320.694996,6657.221995,21423.635
23,58596.41737,38297.88814,84672.39147,38199.90624,48459.52505,76630.44361,35985.84734,43048.1007,71269.29727,171989.2979,115096.8108,51313.16498,61185.21554,39239.51085,162624.7189,95874.29727,66293.93392,66586.01133,191035.9007,39731.86992,8571.340769,32905.22982,71350.2569,19107.13569,29993.1744,2106.860057,42030.41746,17108.42939,5606.682352,7015.047678,22575.15538
24,61672.72928,40308.52727,89117.69202,40205.40132,51003.65011,80653.5419,37875.10432,45308.12599,75010.93538,181018.7361,121139.3934,54007.10614,64397.43935,41299.58517,171162.5167,100907.6979,69774.36545,70081.77693,201065.2855,41817.7931,9021.336159,34632.75439,75096.14538,20110.26031,31567.81606,2217.470209,44237.01438,18006.62193,5901.033175,7383.337681,23760.35104
25,64833.45665,42374.33929,93684.97374,42265.92813,53617.58718,84787.03592,39816.20342,47630.16745,78855.24582,190295.9463,127347.7873,56774.97033,67697.80812,43416.18891,179934.5956,106079.2174,73350.30168,73673.468,211369.8814,43960.95499,9483.679638,36407.68305,78944.82283,21140.91116,33185.66663,2331.115558,46504.16137,18929.46131,6203.461125,7761.733737,24978.06903
26,68075.12949,44493.05626,98369.22243,44379.22454,56298.46654,89026.38772,41807.01359,50011.67582,82798.00811,199810.7436,133715.1767,59613.71885,71082.69852,45586.99836,188931.3254,111383.1783,77017.81676,77357.1414,221938.3755,46159.00274,9957.86362,38228.06721,82892.06397,22197.95671,34844.94997,2447.671336,48829.36943,19875.93437,6513.634182,8149.820424,26226.97248
27,71393.79205,46662.09275,103164.722,46542.71174,59043.01678,93366.42412,43845.1055,52449.74501,86834.411,209551.5174,140233.7915,62519.88765,74547.98008,47809.36453,198141.7275,116813.1082,80772.43533,81128.30204,232757.8713,48409.25412,10443.30947,40091.68548,86933.05209,23280.1071,36543.64128,2566.995313,51209.80119,20844.88617,6831.173848,8547.124169,27505.53739
28,74784.99717,48878.54216,108065.0463,48753.49054,61847.56008,97801.32927,45927.74801,54941.1079,90959.04552,219505.2145,146894.8966,65489.58231,78089.00913,50080.30934,207553.4596,122361.7308,84609.12601,84981.89639,243813.8702,50708.6937,10939.36667,41996.04054,91062.37207,24385.91219,38279.46424,2688.927591,53642.26675,21835.01827,7155.654606,8953.112567,28812.05042
29,78243.80329,51139.17473,113063.0547,51008.33948,64708.00973,102324.6407,48051.90636,57482.13414,95165.90138,229657.3306,153688.7856,68518.47549,81700.6258,52396.52365,217152.8071,128020.9609,88522.29809,88912.3091,255090.2617,53053.97078,11445.31238,43938.35742,95274.00678,25513.76063,40049.88946,2813.290492,56123.22159,22844.88786,7486.603631,9367.194024,30144.60775
30,81764.77444,53440.43759,118150.8922,53303.71476,67619.87017,106929.2496,50214.24214,60068.83018,99448.36694,239991.9105,160604.7809,71601.80689,85377.15397,54754.36722,226924.6834,133781.9041,92505.8015,92913.363,266569.3235,55441.39946,11960.35144,45915.5835,99561.33708,26661.87986,41852.13448,2939.888564,58648.76656,23872.90781,7823.500795,9788.717755,31501.1151
31,85341.98332,55778.45674,123319.9937,55635.75228,70578.23949,111607.4042,52411.11524,62696.8415,103799.233,250491.5566,167631.2401,74734.38594,89112.40445,57149.87078,236852.6383,139634.8624,96552.93032,96978.32264,278231.7314,57866.96069,12483.61681,47924.39028,103917.1456,27828.3371,43683.16537,3068.508688,61214.6501,24917.34753,8165.778954,10216.97416,32879.28889
32,88969.01761,58149.04115,128561.0934,58000.27175,73577.81467,116350.7189,54638.58763,65361.45726,108210.7004,261137.4477,174755.5678,77910.59734,92899.68164,59578.74029,246918.8755,145569.3441,100656.4299,101099.9013,290056.5799,60326.30652,13014.17053,49961.17687,108333.6243,29011.04143,45539.69989,3198.920308,63816.27272,25976.3348,8512.82456,10651.19556,34276.65866
33,92638.98959,60547.6891,133864.2385,60392.78296,76612.89952,121150.1861,56892.42937,68057.61737,112674.3918,271909.3675,181964.235,81124.40948,96731.79351,62036.36333,257104.2791,151574.0795,104808.5076,105270.2723,302021.4139,62814.76666,13551.00506,52022.07541,112802.3863,30207.74689,47418.21252,3330.87577,66448.69397,27047.85861,8863.978573,11090.55737,35690.57083
