Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
0,0.001118022,0.001708443,0.002228374,0.002228374,0.002228374,0.003165644,0.001497157,0.001828386,0.002228374,0.002226453,0.003876442,0.004172098,0.002474644,0.004425976,0.001648995,0.001414436,0.002100926,0.001920087,0.003252722,0.002343132,0.003956342,0.002732255,0.003134603,0.005833492,0.008493596,0.002228374,0.002228374,0.003501657,0.002228374,0.002228374,0.004056428,M,U
1,0.000423659,0.000264145,0.000500991,0.000500991,0.000500991,0.000494151,0.00039139,0.000378496,0.000500991,0.000585736,0.001228488,0.000609486,0.000468184,0.000925411,0.000512666,0.000486708,0.000591129,0.000933023,0.000752849,0.000633261,0.000950063,0.000757058,0.000782399,0.00111156,0.002111889,0.000500991,0.000500991,0.000608306,0.000500991,0.000500991,0.000898214,M,U
2,0.000211088,0.000133348,0.000265932,0.000265932,0.000265932,0.000245984,0.00020017,0.000193574,0.000265932,0.000304831,0.000623719,0.000322166,0.000243154,0.00049251,0.000263699,0.000254814,0.000306247,0.000495591,0.000377189,0.000337671,0.00049109,0.00039887,0.000414925,0.000595563,0.001137207,0.000265932,0.000265932,0.000323383,0.000265932,0.000265932,0.000470038,M,U
3,0.000154897,0.0000984,0.00020067,0.00020067,0.00020067,0.000180797,0.000148642,0.000143848,0.00020067,0.000227922,0.000462601,0.000242671,0.000181705,0.000372187,0.000196531,0.00019129,0.000228654,0.00037394,0.000278065,0.000255079,0.000366791,0.00029977,0.000312723,0.000450342,0.000862015,0.00020067,0.00020067,0.000243615,0.00020067,0.00020067,0.000351801,M,U
4,0.000131675,0.0000829,0.000163225,0.000163225,0.000163225,0.000151889,0.000123873,0.000119368,0.000163225,0.000188544,0.000382838,0.000197907,0.000150223,0.000301638,0.000162073,0.000156324,0.000189127,0.000304652,0.000232413,0.000207875,0.000301491,0.000246207,0.000255689,0.000368012,0.000700858,0.000163225,0.000163225,0.000200582,0.000163225,0.000163225,0.000292281,M,U
5,0.000111476,0.000063,0.000170243,0.000170243,0.000170243,0.000144825,0.000101748,0.000136009,0.000170243,0.00018114,0.000262961,0.000205873,0.000162438,0.000307938,0.000152952,0.000163761,0.000190495,0.000298803,0.00019821,0.000252853,0.000195848,0.000345188,0.000259909,0.00036707,0.000478426,0.000170243,0.000170243,0.00035168,0.000170243,0.000170243,0.000247646,M,U
6,0.0000936,0.0000529,0.000141723,0.000141723,0.000141723,0.000121372,0.000085,0.000113671,0.000141723,0.000151345,0.000219741,0.000171367,0.000135643,0.000256333,0.000127739,0.000136477,0.000159074,0.000248764,0.000166041,0.000210358,0.000163148,0.000287647,0.00021636,0.000305486,0.000397563,0.000141723,0.000141723,0.000292558,0.000141723,0.000141723,0.000206863,M,U
7,0.000106545,0.0000599,0.000157287,0.000157287,0.000157287,0.000137134,0.0000954,0.000127482,0.000157287,0.000169632,0.000246146,0.000190364,0.000151768,0.000283996,0.000142938,0.000151867,0.000178221,0.000276201,0.000187187,0.000233341,0.000181974,0.000320311,0.000240423,0.000339162,0.000439831,0.000157287,0.000157287,0.000326061,0.000157287,0.000157287,0.000231915,M,U
8,0.0000944,0.0000535,0.000153784,0.000153784,0.000153784,0.000124602,0.0000901,0.000119404,0.000153784,0.000159402,0.000230869,0.000186362,0.000143491,0.000277818,0.000134934,0.00014672,0.00016851,0.000269848,0.00017085,0.000229783,0.000176715,0.00030984,0.000235206,0.000332742,0.000438539,0.000153784,0.000153784,0.000321489,0.000153784,0.000153784,0.000218533,M,U
9,0.0000961,0.0000543,0.000156175,0.000156175,0.000156175,0.00012666,0.0000917,0.000121334,0.000156175,0.000161996,0.000234446,0.000189436,0.000145787,0.000281796,0.000137067,0.000149,0.00017138,0.000274099,0.000173517,0.000233549,0.000179938,0.000314889,0.000239116,0.000338209,0.000445759,0.000156175,0.000156175,0.000327993,0.000156175,0.000156175,0.000222237,M,U
