Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
0,51877.31843,29851.74989,177259.2604,73630.77698,52238.66592,71391.46579,36068.36166,47036.01983,64949.66864,196276.2971,146268.1373,130629.7104,103045.143,100542.7892,221953.374,172506.9172,122327.0315,141139.4376,288066.3903,125473.0816,26792.42566,58559.67785,114528.07,71312.3426,87477.66996,3265.087683,64595.92665,38553.18179,12959.41941,15133.67697,43387.92468,M,U
1,65334.73632,34693.94883,201342.2074,90554.83741,63559.47775,92663.66659,50015.05074,62589.79999,82117.31931,232399.2474,171092.8228,137985.5764,126300.2029,144537.4446,274763.7403,263481.2241,133832.6887,165876.0229,347832.9634,129261.529,30053.51494,71560.91624,148845.2476,74173.89639,91925.54651,3537.474411,81917.95773,45350.08712,13056.98544,17818.37076,51465.49588,M,U
2,65761.45051,34827.99238,200111.1172,90289.34503,63441.67822,92981.43475,50058.19568,62573.30211,82497.22894,232083.3086,170945.4556,137246.1428,126112.7376,143509.3408,274215.1114,262250.2338,133655.7647,164930.5455,348518.8338,128527.1627,29965.15881,71314.54923,148140.6564,73800.99844,91333.43012,3508.049822,81577.5999,45217.57551,13017.15656,17811.50571,51449.93736,M,U
3,66128.75955,34934.73463,198813.711,89980.81115,63290.52507,93228.12974,50068.86548,62519.39662,82809.64649,231640.152,170700.522,136456.4797,125856.8571,142440.2498,273524.103,260915.0338,133405.3491,163927.2806,348961.1618,127747.654,29862.52919,71035.84527,147377.6163,73399.97244,90712.41402,3477.817543,81202.89993,45063.48809,12971.19256,17794.0907,51403.71119,M,U
4,62241.95467,33209.5313,196155.2824,87730.26942,61459.99016,88767.62206,48131.19011,60352.56977,78496.96512,224526.8258,165151.7155,134252.9283,122048.7367,141060.182,265754.9882,256045.0655,129290.6059,161485.455,334073.2578,125835.9939,29116.50814,69391.18386,144660.0965,72125.47466,89608.64745,3459.642614,79533.7276,43934.77271,12652.35558,17185.16473,49629.29663,M,U
5,46781.18492,28783.05873,180215.3422,96652.34761,65106.26853,95073.10063,52734.08249,74216.9758,63806.12048,209116.3708,165525.396,137007.1083,113020.0839,141625.3747,259214.4976,247738.9312,125654.8454,165178.5489,324469.3133,124573.6736,28362.55258,70328.13397,155528.922,82856.27272,98015.46703,3653.726931,83005.23631,50293.50252,15024.9898,19776.07503,52435.49598,M,U
6,47474.57662,29235.57702,183525.2508,98358.20741,66237.30045,96579.93663,53609.81966,75470.57962,64784.71843,212664.2695,168354.8495,139497.7711,114966.4304,144270.6492,263678.1465,252198.9081,127788.2903,168200.4563,329727.6922,126863.7091,28859.30453,71584.12049,158348.2465,84369.18585,99852.4386,3722.913418,84488.43303,51173.47684,15292.34058,20111.13794,53321.26336,M,U
7,42167.05566,26110.90295,166554.2399,88879.37219,59753.99321,86324.82358,48138.93662,67885.79604,57724.43653,191378.5342,151621.1285,126456.0751,103619.0931,131173.7486,237650.8455,228378.9703,115006.5389,152581.1125,295358.5812,115143.7474,26056.90412,64767.10196,143499.6763,76518.3518,90822.35097,3390.159145,76447.01214,46199.3488,13830.61395,18095.64478,47962.90414,M,U
8,45704.42495,28041.36176,174113.747,93591.9052,63099.94207,92586.11941,51232.47055,72039.0789,62236.99115,202931.8331,160565.4335,132446.9222,109589.3789,136695.3757,251347.148,239626.7313,121933.8594,159622.2378,315627.512,120349.6377,27476.1858,68056.16891,150376.8638,80078.08235,94584.44544,3523.658268,80321.25601,48724.46914,14542.60084,19192.61456,50896.5442,M,U
9,47156.34677,29005.14314,181444.9563,97335.2016,65572.34336,95802.57247,53125.21448,74760.32252,64306.72056,210642.0238,166725.8904,137950.5755,113834.9134,142576.7931,261083.4474,249459.6747,126571.0582,166309.5598,326919.7977,125422.9461,28564.22883,70820.03213,156602.6519,83424.59383,98671.81357,3677.954045,83585.52871,50651.42059,15130.41026,19920.51116,52819.3536,M,U
10,44745.07594,30118.40495,153464.6858,120317.5757,74789.13145,108713.63,60434.15101,93783.58457,54919.53717,205607.8202,153025.8902,150428.7981,101469.7846,137750.8393,246955.9845,241827.5599,131756.7607,150352.8386,387595.3615,117504.7845,30815.7162,82380.97737,185568.2695,99631.75653,101022.4444,3703.301772,93926.30878,58804.8435,16657.69392,21245.8658,57648.62361,M,U
11,41860.0919,28240.53172,144933.3221,113518.0983,70457.58987,101988.6713,56798.46329,88225.5433,51434.15253,193573.6229,144143.5076,142123.7531,95624.30581,130302.7775,232583.4705,228338.4501,124004.7297,142038.9849,364308.4986,111089.2069,29062.28752,77745.00249,175291.6413,94178.89638,95639.33812,3504.419386,88660.52005,55466.69897,15716.91503,19992.41118,54241.09762,M,U
